"";"Method";"Model";"n_variables";"Accuracy";"AUC"
"1";"ISIS";"BERNOULLI_NAIVE_BAYES";13;0,751480999855512;0,822455095795858
"2";"ISIS";"GAUSSIAN_NAIVE_BAYES";4;0,598829648894668;0,66473462152302
"3";"ISIS";"GBM";13;0,854139575205895;0,927231940949214
"4";"ISIS";"KNN";13;0,841713625198671;0,899704326863658
"5";"ISIS";"NEURAL_NETWORK";11;0,861580696431152;0,933009402133503
"6";"ISIS";"RANDOM_FOREST";13;0,86403698887444;0,935627575355022
"7";"ISIS";"REGULARIZED_METHODS";13;0,784640947839908;0,860930693137931
"8";"ISIS";"TREE";13;0,861291720849588;0,927520530606641
