"";"Method";"Model";"n_variables";"Accuracy";"AUC"
"1";"RIDGE";"BERNOULLI_NAIVE_BAYES";180;0,825603236526513;0,914452942067539
"2";"RIDGE";"GAUSSIAN_NAIVE_BAYES";140;0,746496171073544;0,821217104933525
"3";"E_NET";"GBM";240;0,928045080190724;0,977896894442511
"4";"RIDGE";"KNN";10;0,84424216153735;0,875029018672827
"5";"LASSO";"NEURAL_NETWORK";110;0,870972402831961;0,92913023187882
"6";"LASSO";"RANDOM_FOREST";110;0,905938448201127;0,967876579701392
"7";"RIDGE";"REGULARIZED_METHODS";240;0,883976304002312;0,953110229704298
"8";"LASSO";"TREE";110;0,8872272792949;0,952479282337741
